Detailed image,Category,Бренд,Product code,Название,Артикул,Описание,Материал покрытия,Материал основания,Размер,Дополнительные функции
,,,,,,,,,,
"RZ02-01350100-R3M1/1.png///RZ02-01350100-R3M1/2.png///RZ02-01350100-R3M1/3.png///RZ02-01350100-R3M1/4.png///RZ02-01350100-R3M1/5.png///RZ02-01350100-R3M1/6.png///RZ02-01350100-R3M1/7.png///RZ02-01350100-R3M1/8.png
",Девайсы///Коврики для мыши,Razer,RZ02-01350100-R3M1,Razer Firefly      ,RZ02-01350100-R3M1,"Не можете сделать выбор между внешним видом и содержанием? И не надо. Коврик Razer Firefly с микротекстурированной и оптимизированной для отражения поверхностью, создан специально для мгновенного отклика в игре, разработан для непревзойденной точности даже в самых сложных игровых поединках - чтобы вы каждый раз легко добивались победы.

Коврик Razer Firefly также оснащен настраиваемой подсветкой Chroma, что делает его первым игровым ковриком для мыши с неограниченными возможностями персональной настройки. Будучи полностью совместимым с другими устройствами Razer, поддерживающими световые эффекты Chroma, этот жесткий коврик для мыши позволяет вам управлять впечатляющим набором эффектов, соответствующих вашему персональному стилю игры. 

Микротекстурированная поверхность позволяет повысить скорость и улучшить контроль в игре.
Для того, чтобы добиться идеального баланса межу контролем и скоростью, коврик Razer Firefly снабжен жесткой микроструктурированной поверхностью. Такая текстура обеспечивающей непревзойденную точность и скорость, не требуя каких-либо усилий. Обеспечивающая максимальную точность плотная поверхность гарантирует, что каждое движение мыши передастся курсору, и вы сможете ощутить превосходную точность во время активных игровых боев.

Оптимальная поддержка всех видов сенсоров и всех параметров чувствительности
Одобренный киберспортсменами коврик Razer Firefly разработан для обеспечения полного контроля вне зависимости от того, какую игровую мышь и какие настройки чувствительности вы используете. Его проверенное в лабораторных условиях покрытие отличается высокими показателями отражющей способности и обеспечивает мгновенный отклик в игре.

Подсветка Chroma с настройкой 16,8 млн. оттенков
Откройте для себя качественно новый уровень персональной настройки с 16,8 млн. оттенков и огромным количеством доступных эффектов подсветки. Подсветку Chroma, расположенную вдоль левого, правого и нижнего края Razer Firefly, можно синхронизировать с другими совместимыми устройствами Razer, что позволяет вам дополнить свою игру ошеломляющей визуальной демонстрацией, насыщенной цветами и эффектами.",Пластик,Резина," 255 х 355 х 3,5 мм","RGB-подсветка кабель в защитной оплетке длиной 2,1 метра"
"RZ02-02000100-R3M1/1.png///RZ02-02000100-R3M1/2.png///RZ02-02000100-R3M1/3.png///RZ02-02000100-R3M1/4.png///RZ02-02000100-R3M1/5.png///RZ02-02000100-R3M1/6.png///RZ02-02000100-R3M1/7.png///RZ02-02000100-R3M1/8.png
",Девайсы///Коврики для мыши,Razer,RZ02-02000100-R3M1,Razer Firefly Cloth,RZ02-02000100-R3M1,"Не можете сделать выбор между внешним видом и содержанием? И не надо. Коврик Razer Firefly Cloth Edition с тканевой поверхностью, создан специально для точной работы любых сенсоров – лазерных и оптических. Тканевая поверхность обеспечивает ровное и гладкое скольжение мыши.

Коврик Razer Firefly Cloth Edition также оснащен настраиваемой подсветкой Chroma, что делает его первым игровым ковриком для мыши с неограниченными возможностями персональной настройки. Будучи полностью совместимым с другими устройствами Razer, поддерживающими световые эффекты Chroma, этот жесткий коврик для мыши позволяет вам управлять впечатляющим набором эффектов, соответствующих вашему персональному стилю игры.

Тканевая поверхность идеально подходит для любых сенсоров
Для того, чтобы добиться идеального баланса межу контролем и скоростью, коврик Razer Firefly Cloth Edition снабжен жесткой тканевой поверхностью, обеспечивающей непревзойденную точность и скорость, не требующую приложения каких-либо усилий. Обеспечивающая максимальную точность гладкая поверхность гарантирует, что каждое движение мыши будет передано курсору, и вы сможете ощутить превосходную точность во время игровой активности.

Оптимальная поддержка всех видов сенсоров и всех параметров чувствительности
Одобренный киберспортсменами коврик Razer Firefly Cloth Edition разработан для обеспечения полного контроля вне зависимости от того, какую игровую мышь и какие настройки чувствительности вы используете. Его проверенное в лабораторных условиях покрытие отличается высокими показателями отражательной способности и обеспечивает мгновенный отклик в игре.

Подсветка Chroma с настройкой 16,8 млн. оттенков
Откройте для себя качественно новый уровень персональной настройки с 16,8 млн. оттенков и огромным количеством доступных эффектов подсветки. Подсветку Chroma, расположенную вдоль левого, правого и нижнего края Razer Firefly Cloth Edition, можно синхронизировать с другими совместимыми устройствами Razer, что позволяет вам дополнить свою игру ошеломляющей визуальной демонстрацией, насыщенной цветами и эффектами.
",Ткань,Резина,"255 х 355 х 3,5 мм","RGB-подсветка кабель в защитной оплетке длиной 2,1 метра"
"RZ02-02500100-R3M1/1.jpg///RZ02-02500100-R3M1/2.jpg///RZ02-02500100-R3M1/3.jpg///RZ02-02500100-R3M1/4.jpg///RZ02-02500100-R3M1/5.jpg///RZ02-02500100-R3M1/6.jpg///RZ02-02500100-R3M1/7.jpg///RZ02-02500100-R3M1/8.jpg///RZ02-02500100-R3M1/9.jpg
",Девайсы///Коврики для мыши,Razer,RZ02-02500100-R3M1,Razer Goliathus Chroma,RZ02-02500100-R3M1,"Да будет свет
Мягкий коврик для мыши Razer Goliathus Chroma теперь оснащен подсветкой Razer Chroma. Этот самый популярный коврик теперь оснащен разноцветной подсветкой с возможностью синхронизации с другими устройствами. Его микротекстурированная тканевая поверхность оптимизирована как для скоростного, так и для точного стиля.

Коврик Razer Goliathus Chroma гарантирует непревзойденную точность независимо от вашего стиля игры. Оптимальная поддержка всех видов сенсоров, стилей игры и настроек чувствительности обеспечивает качественное считывание сигнала и отличные скоростные характеристики.
Новый коврик Razer Goliathus Chroma Extended полностью повторяет все плюсы оригинального Goliathus Chroma, но в несколько раз больше. Открываются новые просторы для маневров, а вокруг становится еще ярче. Сравнение размеров: Goliathus Chroma (длина и ширина) 355x255 мм, Goliathus Chroma Extended (длина и ширина) 920 x 294 мм.

На базе Razer Chroma™
Благодаря полному спектру из 16,8 млн цветовых оттенков на базе Razer ChromaTM ваш коврик Razer Goliathus Chroma будет отображать игровые оповещения и эффекты. Кроме того, вы можете самостоятельно выбрать любой понравившийся оттенок.

Быстрый и точный
Микротекстурированная тканевая поверхность позволяет достигнуть превосходного баланса контроля и скорости для скоростного или более точного стиля игры. Каждое движение указателя мыши в точности соответствует движениям мыши, обеспечивая абсолютную меткость в самых насыщенных игровых эпизодах.

Улучшение параметров любых игровых мышек
Коврик Razer Goliathus Chroma оптимально подходит для всех настроек чувствительности и видов сенсоров. Независимо от того, играете ли вы с высокой или низкой чувствительностью, лазерным или оптическим сенсором, считывание сигнала всегда будет качественным для обеспечения надежного управления в игре.

Всегда остается на своём месте
Razer Goliathus Chroma имеет резиновое основание, предотвращающее скольжение, поэтому он сохранит надежное сцепление с поверхностью стола во время самых мощных перемещений и внезапных движений, даже в самых напряженных матчах.

Гармоничная синхронизация
Синхронизация цветов между различными устройствами позволит всем вашим устройствам с поддержкой Razer Chroma подсвечиваться в унисон — все настройки доступны в Razer Synapse 3.

Уберите кабель с дороги
Благодаря встроенному креплению для кабеля вы сможете убрать излишки кабеля мыши с коврика, чтобы полностью сосредоточиться на игре.
",Ткань,Резина,255 х 355 х 3 мм,На базе подсветки Razer Chroma Поддержка Razer Synapse 3
"RZ02-02500300-R3M1/1.jpg///RZ02-02500300-R3M1/2.jpg///RZ02-02500300-R3M1/3.jpg///RZ02-02500300-R3M1/4.jpg///RZ02-02500300-R3M1/5.jpg///RZ02-02500300-R3M1/6.jpg///RZ02-02500300-R3M1/7.jpg///RZ02-02500300-R3M1/8.jpg
",Девайсы///Коврики для мыши,Razer,RZ02-02500300-R3M1,Razer Goliathus Chroma Extended,RZ02-02500300-R3M1,"Да будет свет
Мягкий коврик для мыши Razer Goliathus Chroma Extended теперь оснащен подсветкой Razer Chroma. Этот самый популярный коврик теперь оснащен разноцветной подсветкой с возможностью синхронизации с другими устройствами. Его микротекстурированная тканевая поверхность оптимизирована как для скоростного, так и для точного стиля.

Коврик Razer Goliathus Chroma Extended гарантирует непревзойденную точность независимо от вашего стиля игры. Оптимальная поддержка всех видов сенсоров, стилей игры и настроек чувствительности обеспечивает качественное считывание сигнала и отличные скоростные характеристики.
Новый коврик Razer Goliathus Chroma Extended полностью повторяет все плюсы оригинального Goliathus Chroma, но в несколько раз больше. Открываются новые просторы для маневров, а вокруг становится еще ярче. Сравнение размеров: Goliathus Chroma (длина и ширина) 355x255 мм, Goliathus Chroma Extended (длина и ширина) 920 x 294 мм.

На базе Razer Chroma™
Благодаря полному спектру из 16,8 млн цветовых оттенков на базе Razer ChromaTM ваш коврик Razer Goliathus Chroma будет отображать игровые оповещения и эффекты. Кроме того, вы можете самостоятельно выбрать любой понравившийся оттенок.

Быстрый и точный
Микротекстурированная тканевая поверхность позволяет достигнуть превосходного баланса контроля и скорости для скоростного или более точного стиля игры. Каждое движение указателя мыши в точности соответствует движениям мыши, обеспечивая абсолютную меткость в самых насыщенных игровых эпизодах.

Улучшение параметров любых игровых мышек
Коврик Razer Goliathus Chroma Extended оптимально подходит для всех настроек чувствительности и видов сенсоров. Независимо от того, играете ли вы с высокой или низкой чувствительностью, лазерным или оптическим сенсором, считывание сигнала всегда будет качественным для обеспечения надежного управления в игре.

Всегда остается на своём месте
Razer Goliathus Chroma Extended имеет резиновое основание, предотвращающее скольжение, поэтому он сохранит надежное сцепление с поверхностью стола во время самых мощных перемещений и внезапных движений, даже в самых напряженных матчах.

Гармоничная синхронизация
Синхронизация цветов между различными устройствами позволит всем вашим устройствам с поддержкой Razer Chroma подсвечиваться в унисон — все настройки доступны в Razer Synapse 3.

Уберите кабель с дороги
Благодаря встроенному креплению для кабеля вы сможете убрать излишки кабеля мыши с коврика, чтобы полностью сосредоточиться на игре.
",Ткань,Резина,920 х 294 х 3 мм,На базе подсветки Razer Chroma Поддержка Razer Synapse 3
"RZ02-02180100-R3M1/1.jpg///RZ02-02180100-R3M1/10.jpg///RZ02-02180100-R3M1/2.jpg///RZ02-02180100-R3M1/3.jpg///RZ02-02180100-R3M1/4.jpg///RZ02-02180100-R3M1/5.jpg///RZ02-02180100-R3M1/6.jpg///RZ02-02180100-R3M1/7.jpg///RZ02-02180100-R3M1/8.jpg///RZ02-02180100-R3M1/9.jpg
",Девайсы///Коврики для мыши,Razer,RZ02-02180100-R3M1,Razer Vespula V2,RZ02-02180100-R3M1,"Новый, улучшенный двусторонний коврик для мыши Razer Vespula V2 имеет еще большую площадь поверхности, повышенное качество для отслеживания сенсора мыши и увеличенную опору для запястья. Благодаря ему вы получаете гибкость и удобство в одном продукте.

Но самое главное – теперь Razer Vespula V2 и пластиковый, и тканевый коврик. Каждая сторона коврика поможет вам достигнуть победы в различных боевых ситуациях – и когда нужна невероятная скорость, и когда нужна попиксельная точность. Просто переверните коврик на нужную сторону.

Оптимизированная и увеличенная форма
Благодаря увеличенной поверхности, по сравнению со своим предшественником, коврик Razer Vespula V2 подходит для еще большего числа стилей игры. Теперь вы можете выполнять быстрые широкие движения или совершать несколько команд по всей игровой карте без каких-либо препятствий.

Две стороны с совершенно разными свойствами, но высокой точностью
Вам нужна более цепкая поверхность для точных выстрелов (тканевая сторона) или лучшее скольжение (пластиковая сторона) для преследования противников? Каждая из сторон коврика Razer Vespula V2 спроектирована в соответствии с вашими требованиями.

Улучшенная опора для запястья с эффектом памяти
Высота и плотность опоры для запястья усовершенствована и подобрана в точном соответствии с вашими требованиями. Теперь вы сможете играть с еще большим комфортом и поддержкой в течение длительного времени.",Ткань,Пластик, 320 x 272 x 22 мм,В комплект входит подставка под запястье с гелевым наполнителем с эффектом памяти.
"RZ02-00200400-R3M1/1.png///RZ02-00200400-R3M1/2.png///RZ02-00200400-R3M1/3.jpg///RZ02-00200400-R3M1/4.png
",Девайсы///Коврики для мыши,Razer,RZ02-00200400-R3M1,Razer Destructor 2,RZ02-00200400-R3M1,"Первая модель пластикового ковра Razer Destructor с покрытием, обеспечивающим невероятно точное отслеживание перемещений мыши, определила стандарт непревзойденной эффективности для профессиональных геймеров. Сегодня, Razer Destructor 2 возвращается, чтобы довести эту точность до совершенства. Эта модель отличается принципиально новым покрытием, на которое мгновенно реагирует сенсор скользящей по коврику мыши, гарантируя вам уверенность в абсолютном контроле над каждым движением в игре.

Оптимизированное покрытие
Проверенный лучшими профессиональными геймерами мира, коврик для мыши Razer Destructor 2 имеет новое покрытие. Мелкие серебряные частицы, нанесенные в угольно-черное покрытие поверхности, повышают ее отражающие качества и обеспечивают мгновенную реакцию сенсора во время игры.

Текстурированная поверхность
Микро-текстурированная поверхность Razer Destructor 2 обеспечивает идеальный баланс между контролем и скоростью. Получите необходимый уровень сопротивления для передвижения мыши и делайте идеально точные хедшоты, при этом свободно перемещая мышь по коврику.



Устойчивое резиновое основание
Коврик для мыши Razer Destructor 2 оснащен резиновым основанием, предотвращающим проскальзывание, оно позволяет зафиксировать коврик на столе в нужном вам положении, которое не изменится даже от самых энергичных движений мышью. Ничто не помешает вашей игре.

",Пластик,Резина,"355 x 255 x 2,2 мм",Оптимизированное угольно-черное покрытие с мелкими серебряными частицами для идеальной работы сенсора мыши
"RZ02-00920100-R3M1/1.jpg///RZ02-00920100-R3M1/2.png
",Девайсы///Коврики для мыши,Razer,RZ02-00920100-R3M1,Razer Manticor,RZ02-00920100-R3M1,"Алюминиевый коврик для мыши Razer Manticor демонстрирует новый уровень непревзойденного дизайна и технологии, обеспечивая невероятно легкое скольжение для вашей игровой мыши. Razer Manticor выполнен из цельной пластины авиационного алюминия, а поверхность коврика имеет специальное покрытие, которое обеспечивает абсолютную точность и плавность перемещения мыши. Его угольно-черная отделка была специально выбрана после продолжительного тестирования, поскольку черный цвет лучше всего подходит для надежной работы сенсора. В результате вы сможете мгновенно реагировать метким хедшотом столкнувшись с противником лицом к лицу.

Оптимизированное покрытие
Специально разработанная микроскопическая текстура поверхности коврика для мыши Razer Manticor обеспечивает наиболее точную и постоянную работу сенсора. Используя этот коврик, вы забудете о срывах сенсора и проблемах гладкого скольжения.

Прочный монолитный алюминиевый корпус
Модель Razer Manticor выполнена из цельной пластины авиационного алюминия. Плоское и гладкое основание обеспечивает комфортное гладкое скольжение. В то же время, молекулярное взаимодействие, возникающее в результате специальной механической обработки, создает высокопрочную структуру, которая обеспечивает максимальную прочность. В процессе пескоструйной обработки создается текстура, которая способствует точности наведения и позволяет вам насладиться каждым движением мыши.

Тонкий и широкий
Коврик для мыши Razer Manticor настолько тонкий, что он практически сливается с поверхностью стола. Благодаря этому вы можете перемещать мышь, не беспокоясь о возможных сбоях при выходе за пределы коврика. Такой подход является также более эргономичным: нагрузка на запястье снижается, а значит, вы можете продолжать свои победоносные действия в игре гораздо дольше.
",Алюминий,Резина,"355 x 255 x 2,2 мм",Коврик из анодированного алюминия
"RZ02-01940100-R3M1/1.png///RZ02-01940100-R3M1/2.png///RZ02-01940100-R3M1/3.png///RZ02-01940100-R3M1/4.png///RZ02-01940100-R3M1/5.png///RZ02-01940100-R3M1/6.png///RZ02-01940100-R3M1/7.png///RZ02-01940100-R3M1/8.png///RZ02-01940100-R3M1/9.png
",Девайсы///Коврики для мыши,Razer,RZ02-01940100-R3M1,Razer Sphex V2,RZ02-01940100-R3M1,"Игровой коврик Razer Sphex V2 спроектирован для безупречной игры за настольным компьютером. Этот сверхтонкий игровой коврик обеспечивает высокое качество отслеживания как для лазерных, так и для оптических игровых мышек. Игровой коврик выполнен из сверхпрочного поликарбоната и усовершенствованного материала липкой подложки. Его характеристики и расположение останутся неизменными в ходе самого интенсивного игрового процесса, чтобы ваше внимание было сфокусировано исключительно на игре.

Для безупречной работы за настольным компьютером
Игровой коврик Razer Sphex V2 спроектирован для игроков, предпочитающих играть на абсолютно ровной горизонтальной поверхности. Его толщина составляет менее половины миллиметра. Благодаря сверхтонкой форме и усовершенствованному материалу липкой подложки этот игровой коврик станет превосходным выбором для игроков, предпочитающих игровой процесс без каких-либо помех.

Спроектирован для лазерных и оптических сенсоров
Игровой коврик Razer Sphex V2 спроектирован для повышения качества работы компьютерной мыши, демонстрации всех возможностей как оптических, так и лазерных сенсоров, обеспечения скорости и контроля любого стиля игры.

Максимальная прочность
Сверхпрочное покрытие из поликарбоната игрового коврика Razer Sphex V2 протестировано в лабораторных условиях на устойчивость к ударной нагрузке, разрывам и износу. Невероятная прочность обеспечит великолепные результаты в самых интенсивных тренировках и на турнирах.
",Поликарбонат,Поликарбонат,"355 x 254 x 0,5 мм","Сверхтонкая поверхность 0,5 мм. Многоразовый липкий слой основания. Превосходное качество отслеживания как для лазерных, так и для оптических мышей"
"RZ02-01940200-R3M1/1.png///RZ02-01940200-R3M1/10.png///RZ02-01940200-R3M1/2.png///RZ02-01940200-R3M1/3.png///RZ02-01940200-R3M1/4.png///RZ02-01940200-R3M1/5.png///RZ02-01940200-R3M1/6.png///RZ02-01940200-R3M1/7.png///RZ02-01940200-R3M1/8.png///RZ02-01940200-R3M1/9.png
",Девайсы///Коврики для мыши,Razer,RZ02-01940200-R3M1,Razer Sphex V2 Mini,RZ02-01940200-R3M1,"Игровой коврик Razer Sphex V2 спроектирован для безупречной игры за настольным компьютером. Этот сверхтонкий игровой коврик обеспечивает высокое качество отслеживания как для лазерных, так и для оптических игровых мышек. Игровой коврик выполнен из сверхпрочного поликарбоната и усовершенствованного материала липкой подложки. Его характеристики и расположение останутся неизменными в ходе самого интенсивного игрового процесса, чтобы ваше внимание было сфокусировано исключительно на игре.

Для безупречной работы за настольным компьютером
Игровой коврик Razer Sphex V2 спроектирован для игроков, предпочитающих играть на абсолютно ровной горизонтальной поверхности. Его толщина составляет менее половины миллиметра. Благодаря сверхтонкой форме и усовершенствованному материалу липкой подложки этот игровой коврик станет превосходным выбором для игроков, предпочитающих игровой процесс без каких-либо помех.

Спроектирован для лазерных и оптических сенсоров
Игровой коврик Razer Sphex V2 спроектирован для повышения качества работы компьютерной мыши, демонстрации всех возможностей как оптических, так и лазерных сенсоров, обеспечения скорости и контроля любого стиля игры.

Максимальная прочность
Сверхпрочное покрытие из поликарбоната игрового коврика Razer Sphex V2 протестировано в лабораторных условиях на устойчивость к ударной нагрузке, разрывам и износу. Невероятная прочность обеспечит великолепные результаты в самых интенсивных тренировках и на турнирах.
",Поликарбонат,Поликарбонат,"270 x 215 x 0,5 мм","Сверхтонкая поверхность 0,5 мм. Многоразовый липкий слой основания. Превосходное качество отслеживания как для лазерных, так и для оптических мышей"
